"ITTER107","Territorio","TIPO_DATO7","Tipo dato","SEXISTAT1","Sesso","ETA1_A","Classe di età","PROFILO_PROF","Qualifica contrattuale","ATECO_2007","Ateco 2007","CLLVT","Classe di dipendenti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","2","femmine","TOTAL","totale","99","totale","C","attività manifatturiere","TOTAL","totale","2014","2014",13.15,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","2","femmine","TOTAL","totale","99","totale","C","attività manifatturiere","TOTAL","totale","2015","2015",13.44,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","2","femmine","TOTAL","totale","99","totale","C","attività manifatturiere","TOTAL","totale","2016","2016",13.37,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","2","femmine","TOTAL","totale","99","totale","C","attività manifatturiere","TOTAL","totale","2017","2017",13.55,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","C","attività manifatturiere","W_GE250","250 e più","2014","2014",19.1,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","C","attività manifatturiere","W_GE250","250 e più","2015","2015",19.52,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","C","attività manifatturiere","W_GE250","250 e più","2016","2016",19.37,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","C","attività manifatturiere","W_GE250","250 e più","2017","2017",19.44,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y30-49","30-49 anni","99","totale","C","attività manifatturiere","TOTAL","totale","2014","2014",14.65,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y30-49","30-49 anni","99","totale","C","attività manifatturiere","TOTAL","totale","2015","2015",14.84,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y30-49","30-49 anni","99","totale","C","attività manifatturiere","TOTAL","totale","2016","2016",14.8,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y30-49","30-49 anni","99","totale","C","attività manifatturiere","TOTAL","totale","2017","2017",14.93,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","1","maschi","TOTAL","totale","99","totale","C","attività manifatturiere","TOTAL","totale","2014","2014",15.51,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","1","maschi","TOTAL","totale","99","totale","C","attività manifatturiere","TOTAL","totale","2015","2015",15.62,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","1","maschi","TOTAL","totale","99","totale","C","attività manifatturiere","TOTAL","totale","2016","2016",15.58,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","1","maschi","TOTAL","totale","99","totale","C","attività manifatturiere","TOTAL","totale","2017","2017",15.69,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y_GE50","50 anni e più","99","totale","C","attività manifatturiere","TOTAL","totale","2014","2014",17.54,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y_GE50","50 anni e più","99","totale","C","attività manifatturiere","TOTAL","totale","2015","2015",17.52,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y_GE50","50 anni e più","99","totale","C","attività manifatturiere","TOTAL","totale","2016","2016",17.31,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y_GE50","50 anni e più","99","totale","C","attività manifatturiere","TOTAL","totale","2017","2017",17.41,,
